Name,QBR
Brandon Weeden,71.78996598639456
Colin Kaepernick,87.5212729748128
Mike Glennon,83.89423076923079
Case Keenum,86.78977272727272
E.J. Manuel,77.68246187363835
Terrelle Pryor,69.14828431372548
Geno Smith,71.48148148148148
Teddy Bridgewater,87.03621908127208
Austin Davis,85.13791079812206
Drew Stanton,78.66319444444444
Derek Carr,87.54913959353212
Brian Hoyer,83.31009913258983
Blake Bortles,80.75837445790341
Kirk Cousins,97.5441582790606
Tyrod Taylor,92.48584142394822
Marcus Mariota,88.60871271585556
Brock Osweiler,77.15764331210191
Jameis Winston,87.18696027633852
Ryan Mallett,67.93032786885246
Dak Prescott,95.47550052687038
Trevor Siemian,79.85778443113773
Carson Wentz,88.75159184972938
Jared Goff,100.47606568832983
Jacoby Brissett,81.66755508173416
Mitchell Trubisky,77.5
Brett Hundley,70.59599156118144
C.J. Beathard,69.23363095238096
DeShone Kizer,60.50420168067227
