Name,School,Conference,Games,Completions,Attempts,Completion_Percentage,Yards,Y/A,TD,INT,College_QBR,Rush_Attempts,Rushing_Yds,Rushing_Avg,Rushing_Td
Connor Cook,Big Ten,13,229,408,56.1,3131,7.7,24,7,136.6,52,56,1.1,0
Nick Stevens,MWC,13,210,346,60.7,2678,7.7,21,12,138.8,45,36,0.8,3
Greyson Lambert,SEC,12,162,256,63.3,1959,7.7,12,2,141.5,29,-39,-1.3,1
Tanner Mangum,Ind,13,267,446,59.9,3377,7.6,23,10,136.0,62,-85,-1.4,2
Matt Linehan,Sun Belt,11,246,390,63.1,2972,7.6,16,11,135.0,91,234,2.6,5
John Wolford,ACC,11,142,235,60.4,1791,7.6,9,11,127.7,73,67,0.9,3
Josh Rosen,Pac-12,13,292,487,60.0,3669,7.5,23,11,134.3,37,15,0.4,2
Tommy Armstrong Jr,Big Ten,12,222,402,55.2,3030,7.5,22,16,128.6,98,400,4.1,7
Phillip Ely,MAC,12,226,403,56.1,2965,7.4,23,10,131.8,27,-4,-0.1,1
Driphus Jackson,CUSA,12,185,316,58.5,2348,7.4,18,7,135.3,108,167,1.5,3
Bryant Shirreffs,American,12,168,279,60.2,2078,7.4,9,8,127.7,154,503,3.3,3
Perry Orth,SEC,12,143,261,54.8,1929,7.4,12,9,125.1,53,138,2.6,2
Lamar Jackson,ACC,12,135,247,54.7,1840,7.4,12,8,126.8,163,960,5.9,11
Justin Thomas,ACC,12,75,180,41.7,1339,7.4,13,8,119.1,144,485,3.4,6
Mike Bercovici,Pac-12,13,318,531,59.9,3854,7.3,30,9,136.1,109,84,0.8,6
Joel Stave,Big Ten,13,225,370,60.8,2687,7.3,11,11,125.7,33,-123,-3.7,1
Nathan Peterman,ACC,13,193,313,61.7,2287,7.3,20,8,139.0,85,232,2.7,1
Chris Laviano,Big Ten,12,187,307,60.9,2247,7.3,16,12,131.8,65,-38,-0.6,0
Kenny Potter,MWC,11,182,270,67.4,1984,7.3,15,7,142.3,114,415,3.6,7
Fredi Knighten,Sun Belt,10,136,252,54.0,1835,7.3,19,9,132.9,138,400,2.9,5
Derrius Vick,MAC,10,158,248,63.7,1807,7.3,10,6,133.4,93,177,1.9,1
Brandon Silvers,Sun Belt,11,201,329,61.1,2375,7.2,20,7,137.5,41,41,1.0,2
Thomas Woodson,MAC,12,162,307,52.8,2202,7.2,16,11,123.1,135,603,4.5,3
Luke Falk,Pac-12,12,447,644,69.4,4561,7.1,38,8,145.9,82,-115,-1.4,3
Blake Kemp,American,11,260,375,69.3,2653,7.1,16,10,137.5,39,-8,-0.2,2
Treon Harris,SEC,11,119,235,50.6,1676,7.1,9,6,118.1,95,244,2.6,0
Matt Johns,ACC,12,247,403,61.3,2810,7.0,20,17,127.8,61,86,1.4,1
Christian Hackenberg,Big Ten,13,192,359,53.5,2525,7.0,16,6,123.9,66,-80,-1.2,2
Sefo Liufau,Pac-12,11,213,344,61.9,2401,7.0,9,6,125.7,108,260,2.4,5
Cody Clements,Sun Belt,12,171,324,52.8,2272,7.0,13,15,115.7,84,95,1.1,3
Brooks Haack,Sun Belt,10,123,201,61.2,1407,7.0,5,7,121.2,46,83,1.8,2
P.J. Walker,American,14,245,432,56.7,2972,6.9,19,8,125.3,80,215,2.7,2
Chase Litton,CUSA,11,231,384,60.2,2608,6.8,23,8,132.8,48,44,0.9,0
Jacoby Brissett,ACC,13,237,395,60.0,2662,6.7,20,6,130.3,139,370,2.7,6
Joshua Dobbs,SEC,13,205,344,59.6,2291,6.7,15,5,127.0,146,671,4.6,11
Matt Davis,American,12,182,336,54.2,2259,6.7,16,7,122.2,187,761,4.1,10
Travis Wilson,Pac-12,12,195,314,62.1,2093,6.7,13,10,125.4,141,491,3.5,7
Joe Hubener,Big 12,13,131,275,47.6,1837,6.7,9,10,107.3,180,613,3.4,13
Joe Licata,MAC,12,280,449,62.4,2969,6.6,16,15,123.0,33,-60,-1.8,1
Mitch Leidner,Big Ten,13,242,407,59.5,2701,6.6,14,11,121.2,107,270,2.5,6
Tyler Jones,Sun Belt,12,223,382,58.4,2517,6.6,14,10,120.6,139,593,4.3,10
Brogan Roback,MAC,12,209,344,60.8,2275,6.6,16,11,125.3,52,51,1.0,1
Patrick Towles,SEC,11,183,326,56.1,2148,6.6,9,14,112.0,71,64,0.9,5
Tyler Stewart,MWC,13,186,326,57.1,2138,6.6,15,7,123.0,98,322,3.3,4
Jaquez Johnson,CUSA,10,128,239,53.6,1586,6.6,9,7,115.9,100,290,2.9,2
Alex McGough,CUSA,12,270,420,64.3,2722,6.5,21,8,131.4,88,95,1.1,3
Dalton Sturm,CUSA,10,124,211,58.8,1361,6.5,13,7,126.6,128,356,2.8,1
Joel Lanning,Big 12,11,107,192,55.7,1247,6.5,10,4,123.3,94,330,3.5,4
Billy Bahl,MAC,11,98,220,44.5,1409,6.4,8,13,98.5,39,-70,-1.8,0
Blake Frohnapfel,MAC,12,266,472,56.4,2919,6.2,16,13,114.0,63,53,0.8,1
Thomas Sirk,ACC,12,251,427,58.8,2624,6.1,16,8,119.0,163,809,5.0,8
Garrett Smith,Sun Belt,10,191,334,57.2,2033,6.1,17,11,118.5,108,250,2.3,2
Tanner Lee,American,9,143,276,51.8,1639,5.9,11,7,109.8,23,-162,-7.0,0
Riley Neal,MAC,11,228,391,58.3,2276,5.8,16,6,117.6,88,399,4.5,2
Wes Lunt,Big Ten,12,270,481,56.1,2761,5.7,14,6,111.5,24,-153,-6.4,1
Johnny McCrary,SEC,10,146,267,54.7,1533,5.7,6,12,101.3,70,194,2.8,2
Perry Hills,Big Ten,9,90,180,50.0,1001,5.6,8,13,96.9,109,535,4.9,3
Ryan Willis,Big 12,10,164,315,52.1,1719,5.5,8,10,99.9,58,-82,-1.4,0
Justin Holman,American,9,127,250,50.8,1374,5.5,7,14,95.0,46,140,3.0,0
David Blough,Big Ten,10,169,293,57.7,1574,5.4,10,8,108.6,67,94,1.4,4
Shuler Bentley,CUSA,10,140,269,52.0,1432,5.3,12,6,107.0,45,-36,-0.8,2
Clayton Thorson,Big Ten,13,150,295,50.8,1522,5.2,7,9,95.9,100,397,4.0,5
Drew Lock,SEC,12,129,263,49.0,1332,5.1,4,8,90.5,52,28,0.5,1
Damarcus Smith,CUSA,10,99,211,46.9,1010,4.8,8,5,94.9,92,427,4.6,2
Lee McNeill,CUSA,10,100,189,52.9,878,4.6,1,10,83.1,33,-101,-3.1,1
Baker Mayfield,Big 12,13,254,358,70.9,3965,11.1,40,8,196.4,78,177,2.3,6
Mike White,CUSA,14,280,416,67.3,4363,10.5,37,7,181.4,29,-74,-2.6,0
Logan Woodside,MAC,13,289,418,69.1,4129,9.9,45,9,183.3,37,-40,-1.1,0
Nick Stevens,MWC,10,129,201,64.2,1936,9.6,19,5,171.3,15,53,3.5,2
Zach Terrell,MAC,14,263,377,69.8,3533,9.4,33,4,175.2,80,249,3.1,7
Ryan Higgins,CUSA,13,329,496,66.3,4617,9.3,41,8,168.6,88,277,3.1,4
Brett Rypien,MWC,13,244,394,61.9,3646,9.3,24,8,155.7,48,-16,-0.3,2
Trace McSorley,Big Ten,14,224,387,57.9,3614,9.3,29,8,156.9,146,365,2.5,7
Nathan Peterman,ACC,13,185,306,60.5,2855,9.3,27,7,163.4,72,286,4.0,3
Mason Rudolph,Big 12,13,284,448,63.4,4091,9.1,28,4,158.9,83,61,0.7,6
