Player,School,Conference,QBR
John Navarre,Michigan,Big Ten,133.6
J.P. Losman,Tulane,CUSA,139.9
Matt Schaub,Virginia,ACC,141.0
Joel Klatt,Colorado,Big 12,140.2
Craig Krenzel,Ohio State,Big Ten,127.3
Danny Wimprine,Memphis,CUSA,127.1
Andrew Walter,Arizona State,Pac-10,127.3
Casey Clausen,Tennessee,SEC,134.3
Jay Cutler,Vanderbilt,SEC,127.7
Cory Randolph,Wake Forest,ACC,121.7
Casey Bramlet,Wyoming,MWC,129.6
Quinton Porter,Boston College,Big East,129.0
Timmy Chang,Hawaii,WAC,126.7
Jeff Smoker,Michigan State,Big Ten,128.8
Kyle Orton,Purdue,Big Ten,127.7
Andy Heiser,Nevada,WAC,115.2
R.J. Anderson,Syracuse,Big East,124.1
Scott Rislov,San Jose State,WAC,129.0
Brock Berlin,Miami (FL),Big East,119.3
Andrico Hines,Middle Tennessee State,Sun Belt,125.1
Ryan Hart,Rutgers,Big East,119.0
Brodie Croyle,Alabama,SEC,118.0
Cody Pickett,Washington,Pac-10,118.1
Travis Cox,Utah State,Sun Belt,124.1
Joshua Cribbs,Kent State,MAC,112.6
James Kilian,Tulsa,WAC,128.3
Talmadge Hill,Ball State,MAC,129.2
Orlando Cruz,UTEP,WAC,105.9
Darian Durant,North Carolina,ACC,125.4
Jared Lorenzen,Kentucky,SEC,123.3
Dondrial Pinkins,South Carolina,SEC,110.5
Nathan Chandler,Iowa,Big Ten,122.4
Gino Guidugli,Cincinnati,CUSA,113.0
Drew Olson,UCLA,Pac-10,111.3
Graham Gochneaur,Marshall,MAC,121.2
Brett Basanez,Northwestern,Big Ten,103.4
Kris Heavner,Arizona,Pac-10,102.7
Desmond Robinson,East Carolina,CUSA,112.9
Aaron Karas,Baylor,Big 12,113.1
Derrick Vickers,Central Michigan,MAC,117.3
Kevin Fant,Mississippi State,SEC,105.7
Matt LoVecchio,Indiana,Big Ten,101.8
Walter Washington,Temple,Big East,111.4
Steven Jyles,Louisiana-Monroe,Sun Belt,111.3
Mike Schneider,Duke,ACC,96.5
Jordan Palmer,UTEP,WAC,97.6
Kurt Nantkes,UNLV,MWC,106.7
Jerry Babb,Louisiana,Sun Belt,106.6
Austin Flynn,Iowa State,Big 12,94.1
Reggie Ball,Georgia Tech,ACC,102.8
Brad Smith,Missouri,Big 12,116.0
Chris Lewis,Stanford,Pac-10,100.2
Elliot Jacobs,Arkansas State,Sun Belt,103.0
Zack Mills,Penn State,Big Ten,105.1
Brady Quinn,Notre Dame,Ind,93.5
Ronnie Banks,South Florida,CUSA,99.2
Aaron Leak,Troy,Ind,88.4
Aaron Leak,Troy,Ind,88.4
Chinedu Okoro,Eastern Michigan,MAC,98.0
Matt Dlugolecki,San Diego State,MWC,102.2
Zac Dahman,Army,CUSA,95.4
Stefan Lefors,Louisville,CUSA,181.7
Jason Campbell,Auburn,SEC,172.9
Alex Smith,Utah,MWC,176.5
Jared Zabransky,Boise State,WAC,147.0
Bruce Gradkowski,Toledo,MAC,162.6
Jared Allen,Florida Atlantic,Sun Belt,143.8
Omar Jacobs,Bowling Green State,MAC,167.2
Donovan Woods,Oklahoma State,Big 12,142.6
Darrell Hackney,UAB,CUSA,146.6
David Greene,Georgia,SEC,148.4
Jason White,Oklahoma,Big 12,159.4
Matt Leinart,USC,Pac-10,156.5
Reggie McNeal,Texas A&M,Big 12,137.4
Aaron Rodgers,California,Pac-10,154.3
Lester Ricard,Tulane,CUSA,152.5
Chris Leak,Florida,SEC,144.9
Bryan Cupito,Minnesota,Big Ten,127.0
Josh Betts,Miami (OH),MAC,137.7
Kyle Orton,Purdue,Big Ten,151.1
Buck Pierce,New Mexico State,Sun Belt,148.4
Matt Jones,Arkansas,SEC,132.8
Brandon Hassell,Texas Christian,CUSA,135.9
Kevin Kolb,Houston,CUSA,128.8
Marques Hagans,Virginia,ACC,135.5
Jordan Palmer,UTEP,WAC,136.5
Brock Berlin,Miami (FL),ACC,138.1
Gino Guidugli,Cincinnati,CUSA,146.5
Jay Cutler,Vanderbilt,SEC,134.8
Scott Hall,North Texas,Sun Belt,137.1
Dale Rogers,San Jose State,WAC,130.5
Charlie Frye,Akron,MAC,139.8
Tyler Palko,Pitt,Big East,135.2
Clint Marks,Middle Tennessee State,Sun Belt,138.1
Drew Olson,UCLA,Pac-10,132.4
John Beck,Brigham Young,MWC,128.5
Darian Durant,North Carolina,ACC,135.1
Matt Kubik,Louisiana Tech,WAC,119.3
Steven Moffett,UCF,MAC,131.6
Sonny Cumbie,Texas Tech,Big 12,138.5
Andrew Walter,Arizona State,Pac-10,138.4
Drew Tate,Iowa,Big Ten,134.7
Bryan Randall,Virginia Tech,ACC,134.5
Vince Young,Texas,Big 12,128.4
Dan Orlovsky,Connecticut,Big East,134.7
Danny Wimprine,Memphis,CUSA,128.8
Paul Peterson,Boston College,Big East,134.7
Brady Quinn,Notre Dame,Ind,125.9
Drew Stanton,Michigan State,Big Ten,131.8
Corey Bramlet,Wyoming,MWC,123.0
Paul Pinegar,Fresno State,WAC,135.3
Matt LoVecchio,Indiana,Big Ten,127.6
Timmy Chang,Hawaii,WAC,135.4
Derek Anderson,Oregon State,Pac-10,125.1
Ryan Hart,Rutgers,Big East,127.6
Ethan Flatt,Ole Miss,SEC,114.2
Chad Henne,Michigan,Big Ten,132.6
Kent Smith,Central Michigan,MAC,125.1
Dustin Almond,Southern Mississippi,CUSA,119.3
Tony Eckert,SMU,WAC,109.8
Kellen Clemens,Oregon,Pac-10,131.6
Joel Statham,Maryland,ACC,109.4
Jeff Rowe,Nevada,WAC,121.0
James Kilian,Tulsa,WAC,113.8
Nick Noce,Arkansas State,Sun Belt,111.9
Jay Davis,North Carolina State,ACC,115.4
Alex Brink,Washington State,Pac-10,113.3
Joshua Cribbs,Kent State,MAC,133.2
Walter Washington,Temple,Big East,118.5
Bret Meyer,Iowa State,Big 12,114.4
Wyatt Sexton,Florida State,ACC,114.7
Matt Bohnet,Eastern Michigan,MAC,117.3
Joel Klatt,Colorado,Big 12,115.5
Michael Harrington,Idaho,Sun Belt,125.5
James Pinkney,East Carolina,CUSA,119.1
Reggie Ball,Georgia Tech,ACC,109.4
Joe Dailey,Nebraska,Big 12,110.1
Dylan Meier,Kansas State,Big 12,121.5
Perry Patterson,Syracuse,Big East,113.0
Zack Mills,Penn State,Big Ten,113.9
Pat Julmiste,South Florida,CUSA,104.0
Steven Jyles,Louisiana-Monroe,Sun Belt,113.3
Trent Edwards,Stanford,Pac-10,110.7
Brett Basanez,Northwestern,Big Ten,110.2
John Stocco,Wisconsin,Big Ten,109.8
Travis Cox,Utah State,Sun Belt,111.2
Jerry Babb,Louisiana,Sun Belt,112.6
Kole McKamey,New Mexico,MWC,100.8
Stan Hill,Marshall,MAC,117.1
Ryan Hawk,Ohio,MAC,111.1
Ryan Hawk,Ohio,MAC,111.1
Mike Schneider,Duke,ACC,114.9
Brad Smith,Missouri,Big 12,110.7
Charlie Whitehurst,Clemson,ACC,97.3
Omarr Conner,Mississippi State,SEC,104.7
Kevin O'Connell,San Diego State,MWC,101.0
Casey Paus,Washington,Pac-10,81.2
Shane Steichen,UNLV,MWC,96.3
Shane Boyd,Kentucky,SEC,96.8
Rudy Carpenter,Arizona State,Pac-10,175.0
Brian Brohm,Louisville,Big East,166.7
Troy Smith,Ohio State,Big Ten,162.7
Vince Young,Texas,Big 12,163.9
Matt Leinart,USC,Pac-10,157.7
John Stocco,Wisconsin,Big Ten,150.5
Brian Johnson,Utah,MWC,151.0
Brady Quinn,Notre Dame,Ind,158.4
Drew Stanton,Michigan State,Big Ten,153.4
Justin Holland,Colorado State,MWC,148.6
Drew Olson,UCLA,Pac-10,161.6
Bryan Cupito,Minnesota,Big Ten,145.9
Colt Brennan,Hawaii,WAC,155.5
Ryan Hart,Rutgers,Big East,148.1
Phil Horvath,Northern Illinois,MAC,159.4
D.J. Shockley,Georgia,SEC,148.3
Marcus Vick,Virginia Tech,ACC,143.3
Darrell Hackney,UAB,CUSA,144.5
Jordan Palmer,UTEP,CUSA,140.5
Alex Brink,Washington State,Pac-10,140.0
Omar Jacobs,Bowling Green State,MAC,150.9
Sam Hollenbach,Maryland,ACC,132.8
Isaiah Stanback,Washington,Pac-10,128.8
Paul Pinegar,Fresno State,WAC,147.6
Drew Tate,Iowa,Big Ten,146.4
Cody Hodges,Texas Tech,Big 12,147.6
JaMarcus Russell,LSU,SEC,136.6
Kevin Kolb,Houston,CUSA,133.4
Steven Moffett,UCF,CUSA,139.5
Bret Meyer,Iowa State,Big 12,138.9
Paul Smith,Tulsa,CUSA,142.9
Kyle Wright,Miami (FL),ACC,137.2
Jeff Ballard,Texas Christian,MWC,137.6
Matt Ryan,Boston College,ACC,135.7
James Pinkney,East Carolina,CUSA,132.5
Matt Moore,Oregon State,Pac-10,123.1
Michael Robinson,Penn State,Big Ten,127.2
Brandon Cox,Auburn,SEC,132.6
Jeff Rowe,Nevada,WAC,137.8
Jared Zabransky,Boise State,WAC,130.0
Blake Mitchell,South Carolina,SEC,132.4
Brodie Croyle,Alabama,SEC,132.8
Bruce Gradkowski,Toledo,MAC,146.4
Reggie McNeal,Texas A&M,Big 12,128.6
Brett Basanez,Northwestern,Big Ten,135.1
Josh Betts,Miami (OH),MAC,133.2
Dustin Almond,Southern Mississippi,CUSA,129.0
Corey Bramlet,Wyoming,MWC,125.4
Marques Hagans,Virginia,ACC,129.6
Charlie Whitehurst,Clemson,ACC,133.5
Nick Noce,Arkansas State,Sun Belt,123.4
Kole McKamey,New Mexico,MWC,134.3
John Beck,Brigham Young,MWC,137.6
Trent Edwards,Stanford,Pac-10,139.0
Kevin O'Connell,San Diego State,MWC,132.1
Chris Leak,Florida,SEC,136.5
Matt Kubik,Louisiana Tech,WAC,128.6
Tyler Palko,Pitt,Big East,126.7
Clint Marks,Middle Tennessee State,Sun Belt,129.0
Rick Clausen,Tennessee,SEC,119.1
Drew Weatherford,Florida State,ACC,121.3
Steven Wichman,Idaho,WAC,117.2
Matt Baker,North Carolina,ACC,111.2
Leon Jackson III,Utah State,WAC,120.7
Danny Embick,Florida Atlantic,Sun Belt,117.7
Jay Cutler,Vanderbilt,SEC,126.1
Kent Smith,Central Michigan,MAC,126.4
Joel Klatt,Colorado,Big 12,124.4
Josh Padrick,Florida International,Sun Belt,122.6
Joe Ayoob,California,Pac-10,114.1
Luke Getsy,Akron,MAC,118.1
Chad Henne,Michigan,Big Ten,129.6
Rhett Bomar,Oklahoma,Big 12,113.5
Andre Woodson,Kentucky,SEC,115.4
Micheal Spurlock,Ole Miss,SEC,108.7
Allan Evridge,Kansas State,Big 12,104.4
Joey Lynch,Ball State,MAC,130.5
Adam Tafralis,San Jose State,WAC,108.5
Jerad Romo,SMU,CUSA,113.6
Zac Taylor,Nebraska,Big 12,115.9
Matt Bohnet,Eastern Michigan,MAC,125.2
Zac Dahman,Army,Ind,112.0
Blake Powers,Indiana,Big Ten,118.7
Shawn Bell,Baylor,Big 12,119.6
Lester Ricard,Tulane,CUSA,110.6
Dustin Grutza,Cincinnati,Big East,111.1
Drew Willy,Buffalo,MAC,109.4
Steven Jyles,Louisiana-Monroe,Sun Belt,109.9
Tim Brasic,Illinois,Big Ten,114.7
Royal Gill,New Mexico State,WAC,114.5
Pat Julmiste,South Florida,Big East,98.0
Mike McGann,Temple,Ind,91.7
Brad Smith,Missouri,Big 12,114.1
Reggie Ball,Georgia Tech,ACC,99.3
Michael Machen,Kent State,MAC,102.7
Joey Vincent,New Mexico State,WAC,98.2
Perry Patterson,Syracuse,Big East,93.1
Curtis Painter,Purdue,Big Ten,98.3
Zack Asack,Duke,ACC,95.4
Omarr Conner,Mississippi State,SEC,106.7
Austen Everson,Ohio,MAC,87.7
Bernard Morris,Marshall,CUSA,100.0
Daniel Meager,North Texas,Sun Belt,87.7
Colt Brennan,Hawaii,WAC,186.0
Brian Brohm,Louisville,Big East,159.1
John Beck,Brigham Young,MWC,169.1
JaMarcus Russell,LSU,SEC,167.0
Jared Zabransky,Boise State,WAC,162.6
Tyler Palko,Pitt,Big East,163.2
Kevin Kolb,Houston,CUSA,162.7
Erik Ainge,Tennessee,SEC,151.9
Bobby Reid,Oklahoma State,Big 12,148.1
Jordan Palmer,UTEP,CUSA,149.6
Andre Woodson,Kentucky,SEC,154.5
Adam Tafralis,San Jose State,WAC,155.1
Chase Holbrook,New Mexico State,WAC,155.2
Zac Taylor,Nebraska,Big 12,146.1
Troy Smith,Ohio State,Big Ten,161.9
John Stocco,Wisconsin,Big Ten,143.9
Chris Leak,Florida,SEC,144.9
Matt Grothe,South Florida,Big East,138.8
Colt McCoy,Texas,Big 12,161.8
Brandon Cox,Auburn,SEC,138.7
Nate Davis,Ball State,MAC,146.7
Matt Moore,Oregon State,Pac-10,139.7
Nate Longshore,California,Pac-10,141.6
Bryan Cupito,Minnesota,Big Ten,140.8
Paul Thompson,Oklahoma,Big 12,142.4
Riley Skinner,Wake Forest,ACC,139.6
Chase Daniel,Missouri,Big 12,145.1
Dan Lefevour,Central Michigan,MAC,146.2
Paul Smith,Tulsa,CUSA,141.0
Jeff Ballard,Texas Christian,MWC,138.1
John David Booty,USC,Pac-10,144.0
Will Proctor,Clemson,ACC,135.3
Julian Edelman,Kent State,MAC,124.4
Rudy Carpenter,Arizona State,Pac-10,133.7
Chad Henne,Michigan,Big Ten,143.4
Justin Willis,SMU,CUSA,158.4
Curtis Painter,Purdue,Big Ten,129.1
Drew Tate,Iowa,Big Ten,130.9
Graham Harrell,Texas Tech,Big 12,145.5
Brady Quinn,Notre Dame,Ind,146.7
Alex Brink,Washington State,Pac-10,133.1
Stephen McGee,Texas A&M,Big 12,134.9
Sean Glennon,Virginia Tech,ACC,122.0
Dustin Grutza,Cincinnati,Big East,123.5
Brett Ratliff,Utah,MWC,133.2
Sam Hollenbach,Maryland,ACC,131.0
Mike Teel,Rutgers,Big East,120.6
Phil Horvath,Northern Illinois,MAC,125.5
Jeff Rowe,Nevada,WAC,140.0
Kinsmon Lancaster,Louisiana-Monroe,Sun Belt,115.0
Bernard Morris,Marshall,CUSA,123.1
John Parker Wilson,Alabama,SEC,126.5
Caleb Hanie,Colorado State,MWC,124.3
Chris Nickson,Vanderbilt,SEC,122.8
Lester Ricard,Tulane,CUSA,125.8
James Pinkney,East Carolina,CUSA,122.3
Luke Getsy,Akron,MAC,121.1
Matt Ryan,Boston College,ACC,126.4
Adam Dimichele,Temple,Ind,123.4
Martin Hankins,Memphis,CUSA,125.6
Bret Meyer,Iowa State,Big 12,117.8
Zac Champion,Louisiana Tech,WAC,111.9
Mike Kokal,Miami (OH),MAC,124.3
Steven Wichman,Idaho,WAC,104.9
Drew Weatherford,Florida State,ACC,118.1
Clint Marks,Middle Tennessee State,Sun Belt,120.3
Matthew Stafford,Georgia,SEC,109.0
Shawn Bell,Baylor,Big 12,130.7
Dennis Dixon,Oregon,Pac-10,120.7
Drew Stanton,Michigan State,Big Ten,124.7
Joe Dailey,North Carolina,ACC,115.7
Josh Freeman,Kansas State,Big 12,103.5
Rusty Smith,Florida Atlantic,Sun Belt,113.3
Patrick Cowan,UCLA,Pac-10,113.4
Kellen Lewis,Indiana,Big Ten,118.1
Chase Clement,Rice,CUSA,134.2
Steven Moffett,UCF,CUSA,117.1
Anthony Morelli,Penn State,Big Ten,111.9
Thaddeus Lewis,Duke,ACC,106.9
Jeremy Young,Southern Mississippi,CUSA,120.0
Anthony Turner,Bowling Green State,MAC,120.8
Willie Tuitama,Arizona,Pac-10,114.3
Perry Patterson,Syracuse,Big East,115.4
Karsten Sween,Wyoming,MWC,118.5
Omar Haugabook,Troy,Sun Belt,121.6
Rocky Hinds,UNLV,MWC,104.4
Daniel Evans,North Carolina State,ACC,102.8
Reggie Ball,Georgia Tech,ACC,107.2
Corey Leonard,Arkansas State,Sun Belt,103.8
Ryan Cubit,Western Michigan,MAC,117.9
Ryan Cubit,Western Michigan,MAC,117.9
Jerry Babb,Louisiana,Sun Belt,103.3
Brent Schaeffer,Ole Miss,SEC,100.7
Bernard Jackson,Colorado,Big 12,103.3
Juice Williams,Illinois,Big Ten,91.9
Tom Brandstater,Fresno State,WAC,106.7
Andy Schmitt,Eastern Michigan,MAC,105.6
Austen Everson,Ohio,MAC,102.0
Jameel Sewell,Virginia,ACC,105.4
Josh Padrick,Florida International,Sun Belt,95.5
David Pevoto,Army,Ind,94.7
Aaron Opelt,Toledo,MAC,98.6
Tim Tebow,Florida,SEC,172.5
Paul Smith,Tulsa,CUSA,159.8
Sam Bradford,Oklahoma,Big 12,176.5
Mike Teel,Rutgers,Big East,145.4
Colin Kaepernick,Nevada,WAC,150.8
Colt Brennan,Hawaii,WAC,159.8
Brian Brohm,Louisville,Big East,152.4
Zac Robinson,Oklahoma State,Big 12,149.0
Caleb Hanie,Colorado State,MWC,144.6
Dennis Dixon,Oregon,Pac-10,161.2
Case Keenum,Houston,CUSA,147.6
Ben Mauk,Cincinnati,Big East,150.6
Ben Mauk,Cincinnati,Big East,150.6
Chris Turner,Maryland,ACC,135.5
Graham Harrell,Texas Tech,Big 12,157.3
Rudy Carpenter,Arizona State,Pac-10,145.1
Todd Boeckman,Ohio State,Big Ten,148.9
Pat White,West Virginia,Big East,151.4
Taylor Tharp,Boise State,WAC,152.9
Bernard Morris,Marshall,CUSA,139.1
Tom Brandstater,Fresno State,WAC,140.5
Max Hall,Brigham Young,MWC,137.7
Todd Reesing,Kansas,Big 12,148.8
Colt McCoy,Texas,Big 12,139.2
Tyler Donovan,Wisconsin,Big Ten,134.0
Rusty Smith,Florida Atlantic,Sun Belt,141.6
Nate Davis,Ball State,MAC,139.1
Chase Daniel,Missouri,Big 12,147.9
Alex Brink,Washington State,Pac-10,135.5
Trevor Vittatoe,UTEP,CUSA,135.9
Adam Tafralis,San Jose State,WAC,135.6
Sean Glennon,Virginia Tech,ACC,137.6
Brad Bower,Ohio,MAC,125.7
Brad Bower,Ohio,MAC,125.7
Martin Hankins,Memphis,CUSA,137.8
Sam Keller,Nebraska,Big 12,133.7
Andrew Robinson,Syracuse,Big East,125.7
Shaun Carney,Air Force,MWC,134.3
T.J. Yates,North Carolina,ACC,123.6
Matthew Stafford,Georgia,SEC,128.9
Kyle Israel,UCF,CUSA,128.9
Andre Woodson,Kentucky,SEC,144.5
Tim Hiller,Western Michigan,MAC,132.2
Donovan Porterie,New Mexico,MWC,126.3
Brian Hoyer,Michigan State,Big Ten,131.9
Kyle Wright,Miami (FL),ACC,124.2
Chase Holbrook,New Mexico State,WAC,139.1
Justin Willis,SMU,CUSA,129.4
Aaron Opelt,Toledo,MAC,127.4
Willie Tuitama,Arizona,Pac-10,134.5
C.J. Bacher,Northwestern,Big Ten,124.7
Kevin O'Connell,San Diego State,MWC,124.8
Chad Henne,Michigan,Big Ten,130.5
Matt Ryan,Boston College,ACC,127.0
Tyler Sheehan,Bowling Green State,MAC,132.6
Kellen Lewis,Indiana,Big Ten,134.2
Cullen Harper,Clemson,ACC,141.0
John David Booty,USC,Pac-10,138.0
Curtis Painter,Purdue,Big Ten,132.3
Erik Ainge,Tennessee,SEC,135.5
Matt Grothe,South Florida,Big East,121.0
Drew Willy,Buffalo,MAC,135.7
Thaddeus Lewis,Duke,ACC,125.7
Tyler Lorenzen,Connecticut,Big East,123.0
Riley Skinner,Wake Forest,ACC,133.4
Brian Johnson,Utah,MWC,129.6
Leon Jackson III,Utah State,WAC,132.1
Anthony Scelfo,Tulane,CUSA,114.2
Patrick Pinkney,East Carolina,CUSA,131.7
Dan Lefevour,Central Michigan,MAC,133.5
Josh Freeman,Kansas State,Big 12,127.3
Nate Longshore,California,Pac-10,123.3
Matt Flynn,LSU,SEC,125.8
Seth Adams,Ole Miss,SEC,113.4
Chase Clement,Rice,CUSA,127.4
Anthony Morelli,Penn State,Big Ten,124.2
Andy Dalton,Texas Christian,MWC,118.5
Brandon Cox,Auburn,SEC,116.0
Dan Nicholson,Northern Illinois,MAC,116.9
Cody Hawkins,Colorado,Big 12,119.8
Taylor Bennett,Georgia Tech,ACC,106.0
Juice Williams,Illinois,Big Ten,119.2
Casey Dick,Arkansas,SEC,126.6
Jeremy Young,Southern Mississippi,CUSA,117.5
Adam Weber,Minnesota,Big Ten,120.8
Daniel Raudabaugh,Miami (OH),MAC,112.3
Corey Leonard,Arkansas State,Sun Belt,112.5
Drew Weatherford,Florida State,ACC,118.5
Omar Haugabook,Troy,Sun Belt,120.1
Stephen McGee,Texas A&M,Big 12,117.8
Jake Locker,Washington,Pac-10,105.0
Travis Dixon,UNLV,MWC,109.3
Kinsmon Lancaster,Louisiana-Monroe,Sun Belt,120.3
Andy Schmitt,Eastern Michigan,MAC,130.9
John Parker Wilson,Alabama,SEC,114.6
Blake Szymanski,Baylor,Big 12,117.0
Giovanni Vizza,North Texas,Sun Belt,114.8
Carson Williams,Army,Ind,108.7
Jake Christensen,Iowa,Big Ten,116.9
Jameel Sewell,Virginia,ACC,114.9
Daniel Evans,North Carolina State,ACC,111.5
Nathan Enderle,Idaho,WAC,93.7
Pat Bostick,Pitt,Big East,111.7
Chris Jacquemain,Akron,MAC,111.5
Sam Hunt,UAB,CUSA,96.7
Sean Canfield,Oregon State,Pac-10,106.4
Michael Desormeaux,Louisiana,Sun Belt,109.1
Tavita Pritchard,Stanford,Pac-10,97.5
Mackenzi Adams,Vanderbilt,SEC,113.4
Zac Champion,Louisiana Tech,WAC,110.5
Bret Meyer,Iowa State,Big 12,109.3
Karsten Sween,Wyoming,MWC,108.9
Wesley Carroll,Mississippi State,SEC,104.6
Wayne Younger,Florida International,Sun Belt,87.1
Jimmy Clausen,Notre Dame,Ind,103.9
David Johnson,Tulsa,CUSA,178.7
Sam Bradford,Oklahoma,Big 12,180.8
Zac Robinson,Oklahoma State,Big 12,166.8
Tim Tebow,Florida,SEC,172.4
Nate Davis,Ball State,MAC,157.0
Matthew Stafford,Georgia,SEC,153.5
Colt McCoy,Texas,Big 12,173.8
Mark Sanchez,USC,Pac-10,164.6
Kellen Moore,Boise State,WAC,157.1
Mike Teel,Rutgers,Big East,148.1
Case Keenum,Houston,CUSA,159.9
Joe Ganz,Nebraska,Big 12,153.6
Chase Clement,Rice,CUSA,163.9
Jevan Snead,Ole Miss,SEC,145.5
Max Hall,Brigham Young,MWC,157.2
Juice Williams,Illinois,Big Ten,138.1
Adam Dimichele,Temple,MAC,148.0
Graham Harrell,Texas Tech,Big 12,160.0
Chase Daniel,Missouri,Big 12,159.4
Daryll Clark,Penn State,Big Ten,143.4
Todd Reesing,Kansas,Big 12,148.5
Trevor Vittatoe,UTEP,CUSA,146.4
Robert Griffin III,Baylor,Big 12,142.0
Willie Tuitama,Arizona,Pac-10,144.9
Josh Freeman,Kansas State,Big 12,136.5
Billy Farris,Colorado State,MWC,136.2
Matt Grothe,South Florida,Big East,135.8
Boo Jackson,Ohio,MAC,137.8
Corey Leonard,Arkansas State,Sun Belt,130.7
Ricky Stanzi,Iowa,Big Ten,134.8
Michael Desormeaux,Louisiana,Sun Belt,135.0
Brian Johnson,Utah,MWC,149.4
Jerrod Johnson,Texas A&M,Big 12,137.4
Chase Holbrook,New Mexico State,WAC,141.3
Rusty Smith,Florida Atlantic,Sun Belt,127.8
Colin Kaepernick,Nevada,WAC,132.1
Dan Lefevour,Central Michigan,MAC,144.2
Patrick Pinkney,East Carolina,CUSA,131.3
Tony Pike,Cincinnati,Big East,136.4
Paul McCall,Florida International,Sun Belt,124.4
Joe Craddock,Middle Tennessee State,Sun Belt,135.5
Andy Dalton,Texas Christian,MWC,129.2
Omar Clayton,UNLV,MWC,140.5
Jeremiah Masoli,Oregon,Pac-10,132.0
Jimmy Clausen,Notre Dame,Ind,132.5
Tom Brandstater,Fresno State,WAC,129.4
Cullen Harper,Clemson,ACC,126.2
Casey Dick,Arkansas,SEC,122.4
Chandler Harnish,Northern Illinois,MAC,120.7
Tim Hiller,Western Michigan,MAC,143.8
Drew Willy,Buffalo,MAC,139.3
Rudy Carpenter,Arizona State,Pac-10,130.3
Bill Stull,Pitt,Big East,119.9
Russell Wilson,North Carolina State,ACC,133.9
Bo Levi Mitchell,SMU,CUSA,124.4
Austen Arnaud,Iowa State,Big 12,127.4
Lyle Moevao,Oregon State,Pac-10,128.4
John Parker Wilson,Alabama,SEC,122.3
Jarrett Lee,LSU,SEC,116.9
Diondre Borel,Utah State,WAC,122.1
Austin Davis,Southern Mississippi,CUSA,128.6
Chris Jacquemain,Akron,MAC,125.3
Brian Hoyer,Michigan State,Big Ten,111.5
Arkelon Hall,Memphis,CUSA,121.7
Adam Weber,Minnesota,Big Ten,126.9
Chris Turner,Maryland,ACC,119.3
Joe Webb,UAB,CUSA,115.5
Pat White,West Virginia,Big East,142.3
Hunter Cantwell,Louisville,Big East,119.7
Kevin Moore,Tulane,CUSA,111.3
Julian Edelman,Kent State,MAC,118.8
Tyler Sheehan,Bowling Green State,MAC,133.6
Riley Skinner,Wake Forest,ACC,126.2
Kinsmon Lancaster,Louisiana-Monroe,Sun Belt,128.7
Chris Smelley,South Carolina,SEC,114.8
Tavita Pritchard,Stanford,Pac-10,114.6
Andy Schmitt,Eastern Michigan,MAC,123.9
Curtis Painter,Purdue,Big Ten,118.6
Christian Ponder,Florida State,ACC,115.0
Ryan Lindley,San Diego State,MWC,117.0
Levi Brown,Troy,Sun Belt,127.3
Kyle Reed,San Jose State,WAC,122.9
Kevin Riley,California,Pac-10,117.8
Nathan Enderle,Idaho,WAC,115.2
Robert Marve,Miami (FL),ACC,107.2
C.J. Bacher,Northwestern,Big Ten,116.5
Thaddeus Lewis,Duke,ACC,123.0
Cody Hawkins,Colorado,Big 12,118.1
Kellen Lewis,Indiana,Big Ten,108.2
Aaron Opelt,Toledo,MAC,115.3
Marc Verica,Virginia,ACC,110.6
Mark Cann,Marshall,CUSA,105.1
Tyson Lee,Mississippi State,SEC,113.0
Daniel Raudabaugh,Miami (OH),MAC,109.0
Giovanni Vizza,North Texas,Sun Belt,113.2
Kevin Craft,UCLA,Pac-10,98.7
Kevin Craft,UCLA,Pac-10,98.7
Chris Crane,Boston College,ACC,104.4
Brad Gruner,New Mexico,MWC,100.0
David Wolke,Western Kentucky,Sun Belt,99.5
David Wolke,Western Kentucky,Sun Belt,99.5
Steven Threet,Michigan,Big Ten,105.3
Mike Hartline,Kentucky,SEC,104.7
Ronnie Fouch,Washington,Pac-10,85.1
Cameron Dantley,Syracuse,Big East,102.1
Tyrod Taylor,Virginia Tech,ACC,149.4
Nathan Enderle,Idaho,WAC,157.3
Tim Tebow,Florida,SEC,164.2
Ryan Mallett,Arkansas,SEC,152.5
Andrew Luck,Stanford,Pac-10,143.5
Jimmy Clausen,Notre Dame,Ind,161.4
Max Hall,Brigham Young,MWC,160.1
B.J. Daniels,South Florida,Big East,139.5
Andy Dalton,Texas Christian,MWC,151.8
Joe Webb,UAB,CUSA,150.7
Levi Brown,Troy,Sun Belt,146.1
Jacory Harris,Miami (FL),ACC,140.1
Ryan Colburn,Fresno State,WAC,143.7
Trey Revell,Louisiana-Monroe,Sun Belt,134.6
Kellen Moore,Boise State,WAC,161.7
Scott Tolzien,Wisconsin,Big Ten,143.0
Kirk Cousins,Michigan State,Big Ten,142.6
Bill Stull,Pitt,Big East,150.6
Case Keenum,Houston,CUSA,154.8
Blaine Gabbert,Missouri,Big 12,140.5
Trevor Vittatoe,UTEP,CUSA,130.1
Martevious Young,Southern Mississippi,CUSA,145.7
Russell Wilson,North Carolina State,ACC,147.8
Chris Todd,Auburn,SEC,145.7
Chris Todd,Auburn,SEC,145.7
Ricky Stanzi,Iowa,Big Ten,131.6
Riley Skinner,Wake Forest,ACC,147.8
Daryll Clark,Penn State,Big Ten,142.6
Diondre Borel,Utah State,WAC,137.8
